Rank,Company,Symbol,Weight,,
171,Microchip Technology Incorporated,MCHP,0.119415,,
172,General Dynamics Corporation,GD,0.118209,,
173,Trane Technologies plc,TT,0.117708,,
174,Kimberly-Clark Corporation,KMB,0.117591,,
175,O'Reilly Automotive Inc.,ORLY,0.116881,,
176,American International Group Inc.,AIG,0.116413,,
177,Cognizant Technology Solutions Corporation Class A,CTSH,0.11533,,
178,Carrier Global Corp.,CARR,0.114635,,
179,Motorola Solutions Inc.,MSI,0.113226,,
180,MetLife Inc.,MET,0.112413,,
181,Marriott International Inc. Class A,MAR,0.111281,,
182,T. Rowe Price Group,TROW,0.110909,,
183,American Electric Power Company Inc.,AEP,0.109526,,
184,Aptiv PLC,APTV,0.108883,,
185,Bank of New York Mellon Corporation,BK,0.108828,,
186,AutoZone Inc.,AZO,0.107913,,
187,Paychex Inc.,PAYX,0.107821,,
188,HP Inc.,HPQ,0.107505,,
189,Baxter International Inc.,BAX,0.106624,,
190,Hilton Worldwide Holdings Inc,HLT,0.106565,,
191,eBay Inc.,EBAY,0.105059,,
192,SBA Communications Corp. Class A,SBAC,0.104999,,
193,Dow Inc.,DOW,0.10446,,
194,DuPont de Nemours Inc.,DD,0.103389,,
195,Sempra Energy,SRE,0.103286,,
196,L3Harris Technologies Inc,LHX,0.103245,,
197,Schlumberger NV,SLB,0.102895,,
198,Pioneer Natural Resources Company,PXD,0.101481,,
199,Prudential Financial Inc.,PRU,0.101466,,
200,Constellation Brands Inc. Class A,STZ,0.101239,,
201,Yum! Brands Inc.,YUM,0.100906,,
202,Ross Stores Inc.,ROST,0.100685,,
203,Realty Income Corporation,O,0.10056,,
204,Parker-Hannifin Corporation,PH,0.10031,,
205,General Mills Inc.,GIS,0.100281,,
206,PPG Industries Inc.,PPG,0.100193,,
207,Rockwell Automation Inc.,ROK,0.099275,,
208,Global Payments Inc.,GPN,0.098745,,
209,Sysco Corporation,SYY,0.098456,,
210,SVB Financial Group,SIVB,0.098335,,
211,Mettler-Toledo International Inc.,MTD,0.097212,,
212,Marathon Petroleum Corporation,MPC,0.096486,,
213,Travelers Companies Inc.,TRV,0.096475,,
214,McKesson Corporation,MCK,0.094938,,
215,Cintas Corporation,CTAS,0.094891,,
216,Electronic Arts Inc.,EA,0.094378,,
217,EPAM Systems Inc.,EPAM,0.094338,,
218,ResMed Inc.,RMD,0.094058,,
219,Keysight Technologies Inc,KEYS,0.093986,,
220,International Flavors & Fragrances Inc.,IFF,0.093464,,
221,Match Group Inc.,MTCH,0.093205,,
222,Welltower Inc.,WELL,0.092417,,
223,Archer-Daniels-Midland Company,ADM,0.09227,,
224,Walgreens Boots Alliance Inc,WBA,0.092089,,
225,First Republic Bank,FRC,0.091628,,
226,Otis Worldwide Corporation,OTIS,0.090921,,
227,Verisk Analytics Inc,VRSK,0.090781,,
228,Xcel Energy Inc.,XEL,0.090642,,
229,Fastenal Company,FAST,0.090481,,
230,CBRE Group Inc. Class A,CBRE,0.089878,,
231,Aflac Incorporated,AFL,0.089117,,
232,Biogen Inc.,BIIB,0.088178,,
233,Monster Beverage Corporation,MNST,0.087694,,
234,Equifax Inc.,EFX,0.087626,,
235,Twitter Inc.,TWTR,0.087529,,
236,ANSYS Inc.,ANSS,0.087154,,
237,AvalonBay Communities Inc.,AVB,0.086549,,
238,D.R. Horton Inc.,DHI,0.086456,,
239,West Pharmaceutical Services Inc.,WST,0.08603,,
240,Arthur J. Gallagher & Co.,AJG,0.086005,,
241,Discover Financial Services,DFS,0.085533,,
242,Corteva Inc,CTVA,0.085342,,
243,Ameriprise Financial Inc.,AMP,0.084701,,
244,American Water Works Company Inc.,AWK,0.084217,,
245,State Street Corporation,STT,0.084114,,
246,AMETEK Inc.,AME,0.08355,,
247,Allstate Corporation,ALL,0.083369,,
248,Public Service Enterprise Group Inc,PEG,0.082726,,
249,Old Dominion Freight Line Inc.,ODFL,0.082423,,
250,TransDigm Group Incorporated,TDG,0.081985,,
251,Nucor Corporation,NUE,0.080405,,
252,Copart Inc.,CPRT,0.079684,,
253,Arista Networks Inc.,ANET,0.079362,,
254,Zebra Technologies Corporation Class A,ZBRA,0.078682,,
255,Dollar Tree Inc.,DLTR,0.078511,,
256,Phillips 66,PSX,0.078282,,
257,Lennar Corporation Class A,LEN,0.078088,,
258,Alexandria Real Estate Equities Inc.,ARE,0.07778,,
259,Williams Companies Inc.,WMB,0.077698,,
260,Eversource Energy,ES,0.077275,,
261,Cummins Inc.,CMI,0.077153,,
262,Ball Corporation,BLL,0.07691,,
263,Equity Residential,EQR,0.076124,,
264,Kinder Morgan Inc Class P,KMI,0.075984,,
265,Weyerhaeuser Company,WY,0.07578,,
266,Kroger Co.,KR,0.075713,,
267,WEC Energy Group Inc,WEC,0.075586,,
268,Valero Energy Corporation,VLO,0.07492,,
269,PACCAR Inc,PCAR,0.074881,,
270,Laboratory Corporation of America Holdings,LH,0.074721,,
271,Stanley Black & Decker Inc.,SWK,0.074703,,
272,Extra Space Storage Inc.,EXR,0.074492,,
273,Consolidated Edison Inc.,ED,0.074469,,
274,Fifth Third Bancorp,FITB,0.074259,,
275,Willis Towers Watson Public Limited Company,WLTW,0.073005,,
276,Republic Services Inc.,RSG,0.07183,,
277,Corning Inc,GLW,0.070564,,
278,Etsy Inc.,ETSY,0.069573,,
279,CDW Corp.,CDW,0.069161,,
280,Hershey Company,HSY,0.068627,,
281,Gartner Inc.,IT,0.06862,,
282,Cerner Corporation,CERN,0.067892,,
283,Devon Energy Corporation,DVN,0.067833,,
284,Vulcan Materials Company,VMC,0.06771,,
285,Albemarle Corporation,ALB,0.067631,,
286,Martin Marietta Materials Inc.,MLM,0.067449,,
287,Fortive Corp.,FTV,0.067226,,
288,Tractor Supply Company,TSCO,0.066769,,
289,Zimmer Biomet Holdings Inc.,ZBH,0.066079,,
290,Teradyne Inc.,TER,0.065954,,
291,Expedia Group Inc.,EXPE,0.065487,,
292,Mid-America Apartment Communities Inc.,MAA,0.065088,,
293,ONEOK Inc.,OKE,0.064305,,
294,Dover Corporation,DOV,0.064168,,
295,Skyworks Solutions Inc.,SWKS,0.063479,,
296,Occidental Petroleum Corporation,OXY,0.063405,,
297,Edison International,EIX,0.063349,,
298,Tyson Foods Inc. Class A,TSN,0.062784,,
299,Synchrony Financial,SYF,0.062557,,
300,Kraft Heinz Company,KHC,0.062413,,
301,Southwest Airlines Co.,LUV,0.062358,,
302,PerkinElmer Inc.,PKI,0.062263,,
303,Enphase Energy Inc.,ENPH,0.06191,,
304,Delta Air Lines Inc.,DAL,0.061632,,
305,Church & Dwight Co. Inc.,CHD,0.061416,,
306,Northern Trust Corporation,NTRS,0.061384,,
307,Ingersoll Rand Inc.,IR,0.06124,,
308,VeriSign Inc.,VRSN,0.061042,,
309,Duke Realty Corporation,DRE,0.060538,,
310,Nasdaq Inc.,NDAQ,0.059975,,
311,STERIS Plc,STE,0.059449,,
312,Hartford Financial Services Group Inc.,HIG,0.059165,,
313,LyondellBasell Industries NV,LYB,0.058996,,
314,United Rentals Inc.,URI,0.058894,,
315,McCormick & Company Incorporated,MKC,0.05875,,
316,V.F. Corporation,VFC,0.058436,,
317,DTE Energy Company,DTE,0.057044,,
318,PPL Corporation,PPL,0.056836,,
319,Ameren Corporation,AEE,0.056613,,
320,Essex Property Trust Inc.,ESS,0.056568,,
321,Seagate Technology Holdings PLC,STX,0.056439,,
322,Waters Corporation,WAT,0.056316,,
323,Best Buy Co. Inc.,BBY,0.056288,,
324,Huntington Bancshares Incorporated,HBAN,0.056179,,
325,Expeditors International of Washington Inc.,EXPD,0.055903,,
326,W.W. Grainger Inc.,GWW,0.055742,,
327,Pool Corporation,POOL,0.055542,,
328,FirstEnergy Corp.,FE,0.055512,,
329,Entergy Corporation,ETR,0.055333,,
330,Generac Holdings Inc.,GNRC,0.054947,,
331,KeyCorp,KEY,0.054686,,
332,Ulta Beauty Inc,ULTA,0.054675,,
333,Trimble Inc.,TRMB,0.054306,,
334,Tyler Technologies Inc.,TYL,0.054288,,
335,Catalent Inc,CTLT,0.054019,,
336,Xylem Inc.,XYL,0.052945,,
337,Broadridge Financial Solutions Inc.,BR,0.052403,,
338,Clorox Company,CLX,0.052207,,
339,Monolithic Power Systems Inc.,MPWR,0.051845,,
340,Take-Two Interactive Software Inc.,TTWO,0.051767,,
341,Baker Hughes Company Class A,BKR,0.051747,,
342,Quest Diagnostics Incorporated,DGX,0.051641,,
343,CarMax Inc.,KMX,0.051513,,
344,Cooper Companies Inc.,COO,0.05151,,
345,Regions Financial Corporation,RF,0.051503,,
346,Hewlett Packard Enterprise Co.,HPE,0.051214,,
347,Garmin Ltd.,GRMN,0.050791,,
348,NetApp Inc.,NTAP,0.050723,,
349,Ventas Inc.,VTR,0.050672,,
350,Domino's Pizza Inc.,DPZ,0.050659,,
351,Hess Corporation,HES,0.050236,,
352,Teledyne Technologies Incorporated,TDY,0.050172,,
353,Halliburton Company,HAL,0.049998,,
354,Citizens Financial Group Inc.,CFG,0.049678,,
355,Paycom Software Inc.,PAYC,0.049506,,
356,Western Digital Corporation,WDC,0.049427,,
357,Genuine Parts Company,GPC,0.049246,,
358,NVR Inc.,NVR,0.049205,,
359,AmerisourceBergen Corporation,ABC,0.049034,,
360,Bio-Techne Corporation,TECH,0.048844,,
361,M&T Bank Corporation,MTB,0.048649,,
362,Caesars Entertainment Inc,CZR,0.048188,,
363,Signature Bank,SBNY,0.048123,,
364,Hologic Inc.,HOLX,0.048077,,
365,Darden Restaurants Inc.,DRI,0.048001,,
366,Healthpeak Properties Inc.,PEAK,0.047863,,
367,Akamai Technologies Inc.,AKAM,0.047073,,
368,CMS Energy Corporation,CMS,0.046661,,
369,Charles River Laboratories International Inc.,CRL,0.046618,,
370,ViacomCBS Inc. Class B,VIAC,0.046517,,
371,Raymond James Financial Inc.,RJF,0.046214,,
372,FLEETCOR Technologies Inc.,FLT,0.045944,,
373,Bath & Body Works Inc.,BBWI,0.045525,,
374,Celanese Corporation,CE,0.045519,,
375,Amcor PLC,AMCR,0.045485,,
376,FactSet Research Systems Inc.,FDS,0.045281,,
377,Diamondback Energy Inc.,FANG,0.045059,,
378,International Paper Company,IP,0.045001,,
379,Jacobs Engineering Group Inc.,J,0.044618,,
380,Principal Financial Group Inc.,PFG,0.044392,,
381,MGM Resorts International,MGM,0.044291,,
382,IDEX Corporation,IEX,0.04415,,
383,Avery Dennison Corporation,AVY,0.044037,,
384,CenterPoint Energy Inc.,CNP,0.043264,,
385,UDR Inc.,UDR,0.043018,,
386,Qorvo Inc.,QRVO,0.042921,,
387,Westinghouse Air Brake Technologies Corporation,WAB,0.042811,,
388,Textron Inc.,TXT,0.042668,,
389,Masco Corporation,MAS,0.042629,,
390,J.B. Hunt Transport Services Inc.,JBHT,0.042261,,
391,Royal Caribbean Group,RCL,0.042133,,
392,Cincinnati Financial Corporation,CINF,0.042034,,
393,Boston Properties Inc.,BXP,0.040561,,
394,ABIOMED Inc.,ABMD,0.040555,,
395,Carnival Corporation,CCL,0.040451,,
396,Viatris Inc.,VTRS,0.040415,,
397,Bio-Rad Laboratories Inc. Class A,BIO,0.040282,,
398,Brown & Brown Inc.,BRO,0.04026,,
399,Conagra Brands Inc.,CAG,0.040145,,
400,Eastman Chemical Company,EMN,0.040084,,
401,Kellogg Company,K,0.040072,,
402,AES Corporation,AES,0.039736,,
403,LKQ Corporation,LKQ,0.039717,,
404,Coterra Energy Inc.,CTRA,0.03918,,
405,Omnicom Group Inc,OMC,0.039013,,
406,Live Nation Entertainment Inc.,LYV,0.038925,,
407,Quanta Services Inc.,PWR,0.038843,,
408,MarketAxess Holdings Inc.,MKTX,0.03865,,
409,Evergy Inc.,EVRG,0.038634,,
410,Advance Auto Parts Inc.,AAP,0.038294,,
411,CF Industries Holdings Inc.,CF,0.038217,,
412,Teleflex Incorporated,TFX,0.038187,,
413,Alliant Energy Corp,LNT,0.03793,,
414,Iron Mountain Inc.,IRM,0.037652,,
415,NortonLifeLock Inc.,NLOK,0.03757,,
416,Cardinal Health Inc.,CAH,0.037317,,
417,SolarEdge Technologies Inc.,SEDG,0.036806,,
418,Kimco Realty Corporation,KIM,0.036689,,
419,Interpublic Group of Companies Inc.,IPG,0.036684,,
420,F5 Inc.,FFIV,0.036368,,
421,PulteGroup Inc.,PHM,0.036252,,
422,J.M. Smucker Company,SJM,0.036188,,
